id,estimate_under_185,estimate_total
271230301001,197,769
271230301002,414,1197
271230301003,180,836
271230301004,206,741
271230301005,224,1076
271230302011,269,1218
271230302012,237,1500
271230302013,400,1100
271230302014,117,1305
271230302021,540,2157
271230303001,47,1016
271230303002,45,957
271230303003,190,819
271230303004,35,742
271230303005,81,614
271230303006,71,799
271230303007,192,1152
271230304001,1334,2125
271230304002,1667,2913
271230304003,732,2015
271230305001,1718,2263
271230305002,1082,1961
271230305003,459,703
271230305004,643,925
271230306011,2270,3369
271230306012,1538,2848
271230306021,222,842
271230306022,141,699
271230306023,225,694
271230306024,485,1915
271230307021,485,1054
271230307022,187,1293
271230307023,339,773
271230307024,437,845
271230307025,509,1368
271230307031,363,829
271230307032,559,1276
271230307033,472,2039
271230307041,303,913
271230307042,244,804
271230307043,1146,2696
271230308001,929,1482
271230308002,513,1392
271230308003,571,914
271230308004,704,1403
271230309001,446,990
271230309002,780,1165
271230309003,1650,2242
271230310001,346,863
271230310002,1007,1178
271230310003,907,1091
271230310004,233,442
271230310005,206,814
271230311001,835,1846
271230311002,435,808
271230311003,666,1283
271230312001,729,1450
271230312002,137,568
271230312003,185,910
271230313001,695,1067
271230313002,857,1341
271230314001,631,985
271230314002,1267,1934
271230315001,219,509
271230315002,986,1388
271230315003,797,1136
271230316001,420,1271
271230316002,888,1082
271230316003,338,591
271230316004,430,1247
271230317011,874,1963
271230317012,623,1134
271230317021,826,1853
271230317022,1247,1321
271230317023,632,1488
271230317024,1340,1857
271230318011,920,1745
271230318012,1324,1548
271230318013,170,654
271230318014,602,1196
271230318021,417,1086
271230318022,334,940
271230318023,448,1187
271230318024,372,1019
271230319001,674,1202
271230319002,358,698
271230320001,220,878
271230320002,1039,1503
271230320003,130,905
271230321001,361,1366
271230321002,458,1191
271230322001,239,608
271230322002,67,891
271230322003,379,788
271230323001,106,1125
271230323002,257,957
271230323003,305,738
271230323004,84,662
271230324001,764,1334
271230324002,389,1530
271230325001,508,987
271230325002,798,1057
271230325003,648,1254
271230325004,194,522
271230326001,1003,1859
271230326002,578,1126
271230326003,465,759
271230327001,711,1076
271230327002,1115,1687
271230330001,338,588
271230330002,621,952
271230331001,307,700
271230331002,422,856
271230332001,413,1164
271230332002,599,1773
271230333001,478,1723
271230333002,110,791
271230333003,300,756
271230334001,748,884
271230334002,311,1018
271230334003,274,694
271230335001,759,1353
271230335002,517,798
271230335003,550,1589
271230336001,1424,1795
271230337001,1075,1241
271230338001,644,1360
271230338002,275,574
271230339001,597,1506
271230340001,394,949
271230340002,189,635
271230342011,900,2231
271230342021,319,1692
271230342022,688,988
271230342023,715,2735
271230344001,163,661
271230344002,1107,1480
271230345001,511,1119
271230345002,243,744
271230345003,1314,1962
271230346011,783,1642
271230346012,485,1915
271230346013,924,1798
271230346021,398,984
271230346022,898,1841
271230346023,661,1693
271230347011,488,1401
271230347012,1144,1945
271230347013,583,1865
271230347021,424,1948
271230347022,793,1415
271230347023,338,794
271230349001,318,778
271230349002,293,855
271230349003,281,1238
271230350001,501,1370
271230350002,106,712
271230350003,67,562
271230351001,417,1369
271230351002,149,888
271230352001,316,1342
271230352002,105,1048
271230352003,146,967
271230353001,162,1079
271230353002,146,1006
271230353003,138,754
271230353004,103,989
271230355001,301,1306
271230355002,141,934
271230357001,128,1270
271230357002,147,1221
271230358001,345,1145
271230358002,167,691
271230358003,151,962
271230359001,291,651
271230360001,205,557
271230360002,557,1786
271230361001,955,1592
271230363001,68,599
271230363002,74,758
271230363003,85,750
271230363004,209,984
271230364001,158,1190
271230364002,154,1198
