id,margin_of_error_not_hispanic_or_latino_white_alone,margin_of_error_total
271230301001,152,196
271230301002,314,394
271230301003,105,170
271230301004,176,186
271230301005,187,241
271230302011,219,226
271230302012,239,298
271230302013,267,202
271230302014,259,257
271230302021,232,152
271230303001,291,342
271230303002,245,314
271230303003,206,218
271230303004,136,314
271230303005,148,186
271230303006,268,266
271230303007,284,293
271230304001,215,583
271230304002,238,618
271230304003,263,618
271230305001,116,548
271230305002,136,500
271230305003,88,308
271230305004,83,291
271230306011,113,527
271230306012,158,600
271230306021,224,210
271230306022,133,150
271230306023,188,196
271230306024,242,341
271230307021,157,345
271230307022,146,322
271230307023,161,272
271230307024,122,241
271230307025,126,340
271230307031,193,257
271230307032,156,372
271230307033,172,349
271230307041,117,301
271230307042,130,219
271230307043,149,349
271230308001,95,438
271230308002,158,476
271230308003,153,291
271230308004,160,372
271230309001,149,304
271230309002,97,575
271230309003,236,458
271230310001,133,310
271230310002,133,524
271230310003,130,317
271230310004,60,228
271230310005,103,239
271230311001,192,358
271230311002,150,266
271230311003,212,341
271230312001,149,329
271230312002,96,193
271230312003,176,203
271230313001,97,248
271230313002,98,342
271230314001,90,236
271230314002,90,293
271230315001,61,245
271230315002,104,430
271230315003,131,280
271230316001,135,360
271230316002,69,330
271230316003,91,268
271230316004,134,303
271230317011,125,417
271230317012,104,315
271230317021,150,537
271230317022,114,442
271230317023,149,512
271230317024,116,490
271230318011,114,318
271230318012,101,411
271230318013,142,189
271230318014,144,337
271230318021,159,253
271230318022,157,251
271230318023,156,364
271230318024,80,338
271230319001,161,207
271230319002,116,227
271230320001,145,223
271230320002,261,292
271230320003,140,217
271230321001,151,343
271230321002,260,285
271230322001,94,135
271230322002,207,201
271230322003,198,196
271230323001,166,403
271230323002,269,314
271230323003,176,261
271230323004,195,205
271230324001,83,316
271230324002,152,312
271230325001,95,308
271230325002,161,333
271230325003,141,272
271230325004,108,142
271230326001,113,309
271230326002,105,272
271230326003,72,218
271230327001,42,351
271230327002,91,381
271230330001,70,161
271230330002,100,290
271230331001,105,188
271230331002,87,161
271230332001,204,251
271230332002,218,321
271230333001,197,258
271230333002,96,139
271230333003,278,321
271230334001,119,246
271230334002,193,256
271230334003,126,164
271230335001,135,354
271230335002,70,327
271230335003,163,511
271230336001,36,144
271230337001,84,175
271230338001,162,329
271230338002,84,172
271230339001,142,151
271230340001,189,198
271230340002,109,136
271230342011,166,244
271230342021,394,393
271230342022,127,288
271230342023,319,391
271230344001,121,146
271230344002,93,337
271230345001,139,376
271230345002,156,230
271230345003,247,401
271230346011,173,444
271230346012,199,490
271230346013,96,443
271230346021,130,322
271230346022,198,485
