id,estimate_not_hispanic_or_latino_white_alone,estimate_total
271230301001,742,858
271230301002,956,1381
271230301003,527,842
271230301004,764,820
271230301005,855,1132
271230302011,1016,1218
271230302012,1125,1559
271230302013,947,1113
271230302014,1356,1545
271230302021,1758,2205
271230303001,770,1016
271230303002,648,957
271230303003,647,819
271230303004,413,742
271230303005,525,614
271230303006,783,799
271230303007,1051,1152
271230304001,488,2159
271230304002,833,2913
271230304003,733,2048
271230305001,182,2263
271230305002,342,1983
271230305003,193,703
271230305004,280,995
271230306011,445,3397
271230306012,597,2848
271230306021,523,842
271230306022,611,699
271230306023,527,694
271230306024,858,1932
271230307021,595,1054
271230307022,587,1321
271230307023,405,773
271230307024,628,845
271230307025,581,1368
271230307031,682,829
271230307032,489,1296
271230307033,762,2039
271230307041,239,913
271230307042,434,804
271230307043,692,2716
271230308001,356,1482
271230308002,612,1450
271230308003,384,918
271230308004,439,1403
271230309001,312,990
271230309002,159,1165
271230309003,539,2287
271230310001,400,863
271230310002,290,1178
271230310003,254,1091
271230310004,99,442
271230310005,198,815
271230311001,895,1846
271230311002,350,808
271230311003,674,1288
271230312001,592,1450
271230312002,376,573
271230312003,712,910
271230313001,206,1088
271230313002,434,1341
271230314001,288,985
271230314002,364,1940
271230315001,189,509
271230315002,251,1388
271230315003,272,1142
271230316001,353,1271
271230316002,101,1082
271230316003,179,597
271230316004,327,1247
271230317011,352,1963
271230317012,224,1144
271230317021,273,1853
271230317022,123,1321
271230317023,372,1488
271230317024,301,1857
271230318011,325,1745
271230318012,224,1548
271230318013,492,654
271230318014,478,1196
271230318021,603,1108
271230318022,723,950
271230318023,523,1201
271230318024,187,1020
271230319001,727,1202
271230319002,459,698
271230320001,621,878
271230320002,767,1503
271230320003,668,905
271230321001,584,1366
271230321002,1525,2019
271230322001,420,608
271230322002,574,891
271230322003,870,975
271230323001,541,1133
271230323002,686,957
271230323003,415,738
271230323004,573,662
271230324001,178,1334
271230324002,602,1547
271230325001,153,987
271230325002,215,1057
271230325003,507,1266
271230325004,279,522
271230326001,310,1859
271230326002,247,1126
271230326003,140,759
271230327001,95,1082
271230327002,293,1687
271230330001,200,588
271230330002,356,1341
271230331001,208,739
271230331002,311,874
271230332001,892,1377
271230332002,1097,1778
271230333001,1277,1738
271230333002,601,808
271230333003,674,756
271230334001,404,1347
271230334002,716,1018
