GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US27001770100,27001770100,"Census Tract 7701, Aitkin County, Minnesota",2230,100,2214,101,2117,92,13,13,47,23,21,10,0,9,0,9,16,17,0,9,16,17,16,12,12,11,0,9,0,9,0,9,0,9,4,4,0,9,0,9,0,9
1400000US27001770200,27001770200,"Census Tract 7702, Aitkin County, Minnesota",2216,143,2202,145,2061,139,2,6,79,40,3,4,2,3,0,9,55,26,0,9,55,26,14,19,0,9,0,9,0,9,0,9,0,9,0,9,14,19,14,19,0,9
1400000US27001770300,27001770300,"Census Tract 7703, Aitkin County, Minnesota",3356,194,3296,205,3153,198,22,22,28,23,15,14,0,9,0,9,78,54,0,9,78,54,60,41,50,39,5,7,0,9,1,3,0,9,1,3,3,5,0,9,3,5
1400000US27001770400,27001770400,"Census Tract 7704, Aitkin County, Minnesota",3100,172,3029,179,2778,168,33,33,176,44,0,9,0,9,0,9,42,25,0,9,42,25,71,53,56,56,0,9,2,3,0,9,0,9,0,9,13,17,0,9,13,17
1400000US27001790501,27001790501,"Census Tract 7905.01, Aitkin County, Minnesota",1842,97,1835,92,1795,99,4,7,1,2,2,4,0,9,0,9,33,22,0,9,33,22,7,13,7,13,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27001790502,27001790502,"Census Tract 7905.02, Aitkin County, Minnesota",3097,139,3063,140,2999,140,0,9,16,12,20,20,0,9,0,9,28,21,0,9,28,21,34,22,34,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050107,27003050107,"Census Tract 501.07, Anoka County, Minnesota",2723,147,2723,147,2619,171,0,9,0,9,0,9,0,9,0,9,104,83,0,9,104,83,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050108,27003050108,"Census Tract 501.08, Anoka County, Minnesota",5219,164,5127,189,4745,266,0,12,11,16,85,81,0,12,11,17,275,163,0,12,275,163,92,80,66,73,0,12,0,12,0,12,0,12,16,21,10,14,10,14,0,12
1400000US27003050109,27003050109,"Census Tract 501.09, Anoka County, Minnesota",5280,207,5229,207,4984,258,2,2,58,54,65,63,0,12,0,12,120,111,0,12,120,111,51,37,12,16,0,12,0,12,0,12,0,12,17,28,22,24,11,17,11,17
1400000US27003050110,27003050110,"Census Tract 501.10, Anoka County, Minnesota",2653,136,2631,139,2495,170,0,9,6,9,97,129,0,9,0,9,33,37,0,9,33,37,22,21,16,20,0,9,0,9,0,9,0,9,0,9,6,9,0,9,6,9
1400000US27003050111,27003050111,"Census Tract 501.11, Anoka County, Minnesota",3800,153,3800,153,3656,181,1,2,14,21,17,26,0,9,20,37,92,81,0,9,92,81,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050114,27003050114,"Census Tract 501.14, Anoka County, Minnesota",2972,132,2949,133,2848,143,38,35,0,9,40,40,0,9,0,9,23,23,11,16,12,15,23,29,23,29,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050115,27003050115,"Census Tract 501.15, Anoka County, Minnesota",5481,134,5320,177,4875,231,132,105,0,12,169,147,0,12,10,17,134,93,0,12,134,93,161,100,112,71,9,14,1,2,7,12,0,12,24,39,8,15,0,12,8,15
1400000US27003050116,27003050116,"Census Tract 501.16, Anoka County, Minnesota",4612,21,4418,194,4094,247,5,14,169,125,132,170,0,9,0,9,18,18,0,9,18,18,194,192,54,74,0,9,0,9,0,9,0,9,140,180,0,9,0,9,0,9
1400000US27003050208,27003050208,"Census Tract 502.08, Anoka County, Minnesota",3351,230,3224,256,2625,258,271,193,7,13,88,89,0,9,0,9,233,231,0,9,233,231,127,107,114,105,0,9,0,9,0,9,0,9,13,23,0,9,0,9,0,9
1400000US27003050210,27003050210,"Census Tract 502.10, Anoka County, Minnesota",4009,19,3959,46,3660,190,0,9,58,83,201,161,0,9,0,9,40,46,0,9,40,46,50,47,0,9,0,9,32,38,0,9,0,9,18,30,0,9,0,9,0,9
1400000US27003050215,27003050215,"Census Tract 502.15, Anoka County, Minnesota",4308,197,4184,212,4039,235,0,9,15,23,76,76,0,9,38,60,16,19,0,9,16,19,124,109,44,71,0,9,0,9,0,9,0,9,34,52,46,66,0,9,46,66
1400000US27003050216,27003050216,"Census Tract 502.16, Anoka County, Minnesota",5759,197,5731,200,5293,225,9,15,0,12,288,232,0,12,0,12,141,69,0,12,141,69,28,26,17,20,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12
1400000US27003050217,27003050217,"Census Tract 502.17, Anoka County, Minnesota",2981,128,2896,131,2833,151,0,9,0,9,63,62,0,9,0,9,0,9,0,9,0,9,85,82,41,57,0,9,0,9,0,9,0,9,17,27,27,32,0,9,27,32
1400000US27003050218,27003050218,"Census Tract 502.18, Anoka County, Minnesota",3185,133,3185,133,3105,136,0,9,0,9,68,63,0,9,0,9,12,17,0,9,12,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050219,27003050219,"Census Tract 502.19, Anoka County, Minnesota",2953,191,2925,187,2597,201,205,267,20,21,13,20,0,9,0,9,90,86,0,9,90,86,28,25,21,22,0,9,0,9,0,9,0,9,7,11,0,9,0,9,0,9
1400000US27003050220,27003050220,"Census Tract 502.20, Anoka County, Minnesota",7069,363,6588,397,6121,490,270,355,0,12,13,21,0,12,0,12,184,145,0,12,184,145,481,297,196,171,0,12,0,12,0,12,0,12,142,170,143,173,46,71,97,154
1400000US27003050221,27003050221,"Census Tract 502.21, Anoka County, Minnesota",7275,310,7178,320,6846,363,127,105,0,12,113,86,10,17,0,12,82,75,0,12,82,75,97,76,79,67,0,12,0,12,0,12,0,12,18,21,0,12,0,12,0,12
1400000US27003050222,27003050222,"Census Tract 502.22, Anoka County, Minnesota",5443,266,5268,277,4817,335,95,77,0,12,255,239,0,12,0,12,101,81,1,4,100,82,175,136,116,125,20,32,0,12,0,12,0,12,0,12,39,45,13,22,26,40
1400000US27003050223,27003050223,"Census Tract 502.23, Anoka County, Minnesota",2874,138,2822,139,2673,149,15,22,7,10,79,89,0,9,0,9,48,44,23,34,25,26,52,51,14,22,0,9,0,9,32,47,0,9,0,9,6,9,6,9,0,9
1400000US27003050224,27003050224,"Census Tract 502.24, Anoka County, Minnesota",3164,184,3153,186,2985,198,0,9,5,9,93,73,0,9,0,9,70,53,0,9,70,53,11,14,2,2,0,9,0,9,0,9,0,9,9,14,0,9,0,9,0,9
1400000US27003050225,27003050225,"Census Tract 502.25, Anoka County, Minnesota",6887,255,6694,307,6292,367,0,12,0,12,293,270,0,12,0,12,109,96,0,12,109,96,193,160,128,146,0,12,30,46,0,12,0,12,0,12,35,53,0,12,35,53
1400000US27003050226,27003050226,"Census Tract 502.26, Anoka County, Minnesota",3132,141,3114,138,2866,197,29,31,9,14,34,48,0,9,0,9,176,136,0,9,176,136,18,20,10,16,0,9,0,9,0,9,0,9,8,13,0,9,0,9,0,9
1400000US27003050227,27003050227,"Census Tract 502.27, Anoka County, Minnesota",4622,205,4443,266,4098,333,154,144,8,12,92,70,0,9,0,9,91,93,0,9,91,93,179,146,94,114,0,9,0,9,0,9,0,9,85,87,0,9,0,9,0,9
1400000US27003050228,27003050228,"Census Tract 502.28, Anoka County, Minnesota",5174,293,5053,300,4476,355,283,161,9,13,207,210,0,12,0,12,78,55,0,12,78,55,121,121,13,19,0,12,0,12,0,12,0,12,81,111,27,42,27,42,0,12
1400000US27003050229,27003050229,"Census Tract 502.29, Anoka County, Minnesota",5474,198,5294,221,4571,222,274,76,70,46,141,77,0,12,0,12,238,112,0,12,238,112,180,86,136,77,0,12,0,12,0,12,0,12,37,24,7,11,0,12,7,11
1400000US27003050230,27003050230,"Census Tract 502.30, Anoka County, Minnesota",2350,158,2286,160,2082,172,0,9,3,8,171,103,0,9,0,9,30,31,0,9,30,31,64,48,56,48,0,9,0,9,0,9,0,9,8,12,0,9,0,9,0,9
1400000US27003050232,27003050232,"Census Tract 502.32, Anoka County, Minnesota",3943,27,3859,81,3520,246,0,9,12,20,137,136,0,9,0,9,190,180,0,9,190,180,84,75,67,69,0,9,0,9,0,9,0,9,17,27,0,9,0,9,0,9
1400000US27003050233,27003050233,"Census Tract 502.33, Anoka County, Minnesota",3233,234,3233,234,3130,247,0,9,8,13,60,58,0,9,0,9,35,57,0,9,35,57,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050234,27003050234,"Census Tract 502.34, Anoka County, Minnesota",3176,165,3072,178,2750,170,114,144,18,20,0,9,0,9,0,9,190,102,13,20,177,100,104,116,104,116,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1400000US27003050235,27003050235,"Census Tract 502.35, Anoka County, Minnesota",2876,151,2863,150,2571,244,0,9,26,30,236,182,0,9,0,9,30,44,0,9,30,44,13,26,13,26,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
