GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,JS4E001,JS4E002,JS4E003,JS4E004,JS4E005,JS4E006,JS4E007,JS4E008,JS4E009,JS4E010,JS4E011,JS4E012,JS4E013,JS4E014,JS4E015,JS4E016,JS4E017,JS4E018,JS4E019,JS4E020,JS4E021,JS4E022,JS4E023,JS4E024,JTGE001,JTGE002,JTGE003,JTGE004,JTGE005,JTGE006,JTGE007,JTGE008,JTGE009,JTGE010,JTGE011,JTGE012,JTGE013,JTGE014,JTGE015,JTGE016,JTGE017,JTGE018,JTGE019,JTGE020,JTGE021,JTGE022,JTGE023,JTGE024,JTGE025,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017,JS4M001,JS4M002,JS4M003,JS4M004,JS4M005,JS4M006,JS4M007,JS4M008,JS4M009,JS4M010,JS4M011,JS4M012,JS4M013,JS4M014,JS4M015,JS4M016,JS4M017,JS4M018,JS4M019,JS4M020,JS4M021,JS4M022,JS4M023,JS4M024,JTGM001,JTGM002,JTGM003,JTGM004,JTGM005,JTGM006,JTGM007,JTGM008,JTGM009,JTGM010,JTGM011,JTGM012,JTGM013,JTGM014,JTGM015,JTGM016,JTGM017,JTGM018,JTGM019,JTGM020,JTGM021,JTGM022,JTGM023,JTGM024,JTGM025
"G27000107701001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770100","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7701, Aitkin County, Minnesota",505,46,52,33,17,24,25,75,26,39,41,57,32,17,11,5,5,43,27,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,19,0,0,0,16,462,6,0,0,6,6,0,2,0,2,17,24,14,25,19,28,35,37,43,36,67,45,32,9,9,"Block Group 1, Census Tract 7701, Aitkin County, Minnesota",56,22,19,13,9,11,17,31,13,16,16,22,16,10,8,5,7,17,12,93,93,93,93,93,93,93,3,93,93,93,93,10,93,93,93,93,9,93,93,93,11,53,5,93,93,4,5,93,3,93,3,15,19,15,14,11,15,15,16,17,18,19,19,17,9,8
"G27000107701002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770100","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7701, Aitkin County, Minnesota",327,16,21,14,7,36,11,20,15,19,52,56,24,15,2,14,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,307,5,0,0,0,5,0,0,0,10,0,10,0,8,18,18,19,17,80,48,47,14,0,6,2,"Block Group 2, Census Tract 7701, Aitkin County, Minnesota",48,10,11,11,6,15,8,10,12,10,24,26,14,12,3,10,6,14,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,14,47,8,93,93,93,5,93,93,93,9,93,9,93,5,15,9,11,11,27,17,24,11,93,7,3
"G27000107701003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770100","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7701, Aitkin County, Minnesota",327,13,25,22,17,17,16,15,24,19,54,24,12,46,15,5,3,33,19,0,0,0,0,5,0,2,6,0,0,0,0,0,0,0,0,6,0,0,0,0,14,294,0,1,0,1,2,0,6,6,10,5,2,19,13,28,12,28,17,23,54,34,19,14,0,0,"Block Group 3, Census Tract 7701, Aitkin County, Minnesota",42,11,15,16,14,10,12,9,15,11,21,16,7,38,13,5,4,16,12,93,93,93,93,8,93,3,7,93,93,93,93,93,93,93,93,6,93,93,93,93,10,42,93,3,93,3,3,93,8,5,11,5,3,16,11,18,11,17,11,13,37,17,17,11,93,93
"G27000107702001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770200","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7702, Aitkin County, Minnesota",353,10,25,50,11,47,31,23,13,33,33,20,25,32,0,0,0,16,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,337,4,5,0,2,0,0,0,6,28,9,4,19,0,76,24,62,13,17,51,12,0,5,0,0,"Block Group 1, Census Tract 7702, Aitkin County, Minnesota",65,9,15,25,13,27,20,15,12,18,18,16,17,46,93,93,93,15,15,93,93,93,93,13,93,93,93,93,93,93,93,93,93,8,93,93,93,93,93,93,3,64,7,6,93,4,93,93,93,6,17,6,5,14,93,48,13,27,8,13,23,13,93,8,93,93
"G27000107702002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770200","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7702, Aitkin County, Minnesota",260,17,17,19,13,24,28,17,9,21,39,26,15,13,0,2,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,22,234,7,8,4,3,0,0,5,0,5,7,10,5,2,15,14,35,22,39,18,19,15,1,0,0,"Block Group 2, Census Tract 7702, Aitkin County, Minnesota",50,10,12,15,9,18,20,14,13,15,18,14,9,12,93,3,93,16,5,93,93,93,93,93,93,93,93,93,93,93,93,3,3,93,93,93,93,93,93,93,16,48,6,9,7,4,93,93,5,93,5,8,8,5,3,13,12,17,16,18,10,12,14,4,93,93
"G27000107702003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770200","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7702, Aitkin County, Minnesota",445,49,81,29,37,32,25,21,40,13,26,45,24,10,10,0,3,175,164,16,18,0,20,0,0,58,5,12,10,0,0,0,10,0,9,0,6,0,0,0,11,270,6,0,0,2,0,2,16,9,17,19,28,3,0,40,8,39,12,39,17,10,0,2,1,0,"Block Group 3, Census Tract 7702, Aitkin County, Minnesota",85,33,60,22,20,19,21,19,25,8,18,27,18,8,8,93,4,64,64,25,16,93,11,93,93,54,5,16,13,93,93,93,13,93,16,93,7,93,93,93,12,52,6,93,93,3,93,3,13,9,17,12,18,6,93,23,7,25,10,21,13,6,93,3,3,93
"G27000107703001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770300","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7703, Aitkin County, Minnesota",760,120,39,85,63,58,75,76,51,25,14,35,61,28,17,13,0,422,368,27,24,25,57,15,32,39,24,19,10,0,17,0,35,9,6,8,6,0,12,3,54,338,4,4,0,3,8,0,9,16,3,0,2,13,14,103,28,12,23,74,11,11,0,0,0,0,"Block Group 1, Census Tract 7703, Aitkin County, Minnesota",86,51,23,38,30,34,48,60,24,17,14,24,33,25,17,16,93,73,78,34,25,21,41,18,19,28,26,16,11,93,16,93,38,12,9,11,9,93,12,5,58,57,6,6,93,4,11,93,13,13,6,93,4,13,14,35,24,10,19,31,16,13,93,93,93,93
"G27000107703002","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770300","2",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 7703, Aitkin County, Minnesota",432,60,54,27,33,20,20,8,50,23,42,46,25,10,3,11,0,166,150,0,0,0,5,0,0,18,0,0,0,4,39,22,8,11,27,9,7,0,0,0,16,266,7,0,6,0,0,0,0,43,8,6,4,5,17,55,37,14,36,11,3,14,0,0,0,0,"Block Group 2, Census Tract 7703, Aitkin County, Minnesota",70,38,31,19,17,18,17,10,49,21,30,37,20,13,6,18,93,54,56,93,93,93,8,93,93,19,93,93,93,7,28,21,13,12,34,12,10,93,93,93,15,72,10,93,10,93,93,93,93,35,11,9,6,9,16,29,29,17,46,9,6,19,93,93,93,93
"G27000107703003","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770300","3",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 7703, Aitkin County, Minnesota",501,26,19,12,27,25,34,30,51,0,101,44,53,38,11,14,16,114,88,0,0,0,0,5,0,0,0,0,0,20,13,0,0,24,12,5,0,0,9,0,26,387,6,12,0,0,2,0,0,0,9,6,0,0,19,57,19,47,24,40,22,72,20,26,0,6,"Block Group 3, Census Tract 7703, Aitkin County, Minnesota",75,20,15,16,15,25,22,22,35,93,37,27,30,27,13,14,18,54,42,93,93,93,93,8,93,93,93,93,93,30,16,93,93,18,13,9,93,93,13,93,22,66,9,13,93,93,5,93,93,93,13,9,93,93,19,32,17,30,14,21,18,26,15,22,93,7
"G27000107704001","2006-2010",,,"Minnesota","27","Aitkin County","001",,,"770400","1",,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 7704, Aitkin County, Minnesota",557,88,63,39,97,28,48,14,14,5,68,30,19,24,4,7,9,172,141,6,0,10,11,8,0,21,24,0,0,0,13,0,30,0,8,8,0,2,0,0,31,385,8,9,43,17,13,7,2,3,24,17,23,19,6,49,23,23,8,25,35,13,14,2,0,2,"Block Group 1, Census Tract 7704, Aitkin County, Minnesota",89,32,32,21,59,18,32,12,10,5,41,21,12,20,4,10,12,59,54,6,93,12,8,6,93,27,16,93,93,93,19,93,36,93,11,9,93,6,93,93,24,75,10,10,52,28,12,6,3,5,15,13,18,11,8,19,16,13,6,16,23,12,13,3,93,3
