GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US270030501071,270030501071,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",2723,147,1383,119,113,52,107,50,106,48,48,33,55,39,19,26,40,35,20,22,63,43,99,47,179,62,28,25,92,46,120,36,86,40,19,27,46,33,35,28,11,17,49,32,35,35,13,19,0,9,1340,127,141,87,85,44,59,42,33,27,30,28,0,9,21,29,55,34,76,42,139,46,132,44,44,28,80,43,137,42,112,55,13,19,21,23,31,27,33,27,70,42,28,25,0,9,0,9
1500000US270030501081,270030501081,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",3786,277,1993,195,286,116,175,75,90,42,82,45,38,28,45,55,32,31,97,51,139,62,179,75,190,75,55,29,117,45,109,57,164,58,12,15,21,20,8,9,45,31,40,25,44,33,13,16,12,18,1793,189,198,107,140,72,70,38,59,31,73,45,35,31,5,8,64,42,215,72,90,56,144,64,106,44,106,48,102,53,122,60,28,23,38,26,12,13,37,23,61,28,12,16,42,41,34,28
1500000US270030501082,270030501082,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",1433,268,715,169,50,28,47,43,66,46,43,43,39,35,0,9,10,15,48,51,54,32,40,39,34,23,8,12,47,48,73,42,96,73,10,16,20,21,10,15,0,9,9,14,11,17,0,9,0,9,718,158,30,27,66,51,60,51,19,20,29,45,12,19,0,9,33,29,36,23,39,27,82,65,53,38,46,45,66,36,74,57,33,41,18,19,0,9,10,15,0,9,12,18,0,9,0,9
1500000US270030501091,270030501091,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",1735,324,847,175,95,67,13,21,60,47,53,49,0,9,0,9,0,9,0,9,56,52,143,90,30,27,47,35,92,50,104,59,47,31,8,12,8,14,43,66,26,23,13,18,9,14,0,9,0,9,888,191,74,91,50,55,49,41,40,35,12,18,19,29,17,27,37,39,89,66,63,69,20,17,105,57,39,29,109,48,24,22,17,18,42,65,28,26,9,15,10,15,13,19,0,9,22,26
1500000US270030501092,270030501092,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",1124,208,618,120,54,44,13,19,51,44,25,26,20,19,22,28,11,17,11,18,13,19,57,39,34,30,54,38,32,28,54,45,60,37,19,20,27,23,0,9,24,23,28,24,0,9,0,9,9,15,506,107,47,37,37,32,15,24,23,24,18,19,1,2,1,2,15,22,10,16,55,41,36,30,15,20,0,9,81,52,75,38,7,15,35,28,0,9,8,13,27,27,0,9,0,9,0,9
1500000US270030501093,270030501093,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",1128,241,576,128,24,25,45,51,22,25,31,40,11,17,0,9,0,9,11,18,28,31,0,9,82,58,25,26,42,29,76,61,87,44,0,9,35,29,15,18,8,12,24,35,0,9,0,9,10,16,552,129,15,21,11,17,11,17,57,56,14,22,0,9,0,9,16,24,12,19,34,32,53,45,12,19,49,35,61,39,73,48,8,12,22,22,0,9,32,29,25,36,15,23,0,9,32,23
1500000US270030501094,270030501094,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",1293,214,682,122,36,32,21,24,33,30,64,43,15,22,0,9,15,23,13,21,97,67,42,34,56,38,32,23,32,29,18,23,87,45,21,22,18,15,15,17,9,12,22,19,24,21,0,9,12,18,611,116,25,28,21,25,80,48,28,23,27,27,0,9,0,9,37,36,35,32,51,39,33,30,37,28,46,32,58,34,38,25,15,15,18,19,7,12,29,25,8,13,8,14,10,16,0,9
1500000US270030501101,270030501101,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",1306,143,719,92,20,16,25,15,29,21,38,27,5,8,35,36,19,14,52,30,16,18,58,32,30,26,48,31,26,18,130,42,71,32,18,16,30,21,26,28,32,28,5,8,0,9,6,9,0,9,587,89,27,18,29,18,0,9,26,27,15,16,11,16,0,9,63,36,29,26,30,20,40,29,26,18,76,34,100,32,54,25,17,15,5,8,9,10,9,10,10,12,5,7,6,9,0,9
1500000US270030501102,270030501102,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",1347,156,667,107,26,25,82,44,52,39,16,14,11,14,13,17,0,9,12,13,23,21,39,28,53,34,40,27,52,32,85,42,72,35,13,14,18,13,17,12,10,8,8,11,6,9,13,13,6,9,680,97,23,19,60,36,33,23,18,17,6,9,30,32,0,9,21,18,55,36,23,20,44,27,27,18,88,39,65,30,89,38,12,13,16,14,11,12,5,8,5,7,33,28,11,12,5,7
