id,totalwhite,totalppl,under18,total18,built_after_2000,totalhu
270030501091,1663,1735,434,1735,174,566
270030501092,1046,1124,265,1124,127,400
270030501093,1057,1128,216,1128,27,474
270030501094,1218,1293,308,1293,97,437
270030501101,1292,1306,194,1306,73,502
270030501102,1203,1347,310,1347,77,495
270030501111,1519,1553,450,1553,155,560
270030501112,1690,1800,329,1800,126,690
270030501113,447,447,71,447,18,208
270030502081,1291,1621,288,1621,36,569
270030502082,1334,1730,471,1730,143,576
270030502101,1053,1122,266,1122,85,461
270030502102,1017,1150,288,1150,41,415
270030502103,883,883,134,883,47,353
270030502104,707,854,135,854,7,338
270030502191,1245,1292,321,1292,36,435
270030502192,1352,1661,327,1661,64,643
270030502201,2064,2238,581,2238,350,684
270030502202,1369,1645,418,1645,50,589
270030502203,1153,1260,304,1260,0,380
270030502204,1535,1926,675,1926,287,702
270030502211,1870,2055,729,2055,434,707
270030502212,1195,1279,335,1279,84,440
270030502213,3781,3941,1386,3941,593,1076
270030502221,1192,1328,421,1328,0,424
270030502222,962,1052,178,1052,44,375
270030502223,1175,1330,319,1330,9,393
270030502224,1488,1733,592,1733,173,525
270030502231,2673,2874,556,2874,83,947
270030502241,780,802,121,802,0,354
270030502242,2205,2362,636,2362,260,788
270030502251,3543,3887,877,3887,204,1197
270030502252,2749,3000,1024,3000,663,968
270030502261,2866,3132,807,3132,234,1123
270030502271,1027,1256,303,1256,17,421
270030502272,3071,3366,1029,3366,428,1169
270030502281,1814,2001,504,2001,319,773
270030502282,2662,3173,985,3173,428,1171
270030502291,2424,3201,656,3201,234,738
270030502292,2147,2273,518,2273,19,853
270030502301,2082,2350,673,2350,279,766
270030502321,1581,1847,576,1847,273,618
270030502322,1939,2096,596,2096,76,743
270030502331,1100,1108,242,1108,68,417
270030502332,2030,2125,557,2125,307,733
270030502361,2446,2702,861,2702,295,906
270030502362,1537,1652,387,1652,10,550
270030502371,3232,3401,830,3401,340,1338
270030502372,1974,2138,720,2138,125,725
270030504011,1341,1476,276,1476,0,612
270030504012,920,1168,364,1168,0,497
270030504021,796,945,183,945,53,506
270030504022,1461,1574,388,1574,70,697
270030504023,898,1029,191,1029,9,538
270030505011,687,823,71,823,50,425
270030505012,826,1164,306,1164,0,500
270030505013,756,831,105,831,67,342
270030505014,479,587,127,587,9,249
270030505041,1005,1262,280,1262,14,583
270030505042,1263,1381,339,1381,70,592
270030505051,1253,1364,262,1364,0,452
270030505052,585,668,67,668,0,297
270030505053,984,1392,356,1392,88,366
270030505054,1196,1710,473,1710,53,801
270030506021,930,1171,247,1171,0,435
270030506022,1093,1403,286,1403,0,482
270030506051,1179,1334,320,1334,59,472
270030506052,1409,1546,365,1546,0,582
270030506053,1302,1398,340,1398,13,456
270030506054,1562,1943,617,1943,23,687
270030506061,882,1074,242,1074,16,503
270030506062,733,764,140,764,9,367
270030506071,838,946,208,946,0,345
270030506072,1404,1827,506,1827,14,585
270030506073,725,832,149,832,17,341
270030506074,717,1017,217,1017,26,555
270030506081,1443,1766,333,1766,188,1026
270030506082,878,1072,150,1072,0,451
270030506083,1167,1730,497,1730,42,559
270030506091,907,966,175,966,44,576
270030506092,832,894,192,894,63,367
270030506093,1458,1505,356,1505,0,552
270030506101,1170,1253,115,1253,14,735
270030506102,849,1323,383,1323,19,344
270030506103,1305,1694,313,1694,95,651
270030506104,2035,2251,478,2251,17,797
270030507021,1926,2181,355,2181,100,890
270030507022,729,1002,221,1002,9,314
270030507041,890,1004,217,1004,9,348
270030507042,1143,1261,206,1261,0,463
270030507043,723,865,211,865,19,351
270030507044,605,704,142,704,0,295
270030507045,689,902,215,902,78,377
270030507061,1008,1082,220,1082,0,463
270030507062,606,769,221,769,5,277
270030507063,787,1432,406,1432,77,615
270030507071,2497,2748,664,2748,716,1088
270030507072,1641,1681,483,1681,53,532
270030507073,1396,1753,401,1753,58,531
270030507091,1013,1363,224,1363,23,520
270030507092,831,1051,111,1051,22,616
270030507101,564,896,303,896,0,307
270030507102,816,992,176,992,0,333
270030507103,677,714,127,714,0,270
270030507104,861,1017,212,1017,95,531
270030507111,558,616,109,616,10,314
270030507112,842,892,122,892,21,311
270030507113,813,1088,238,1088,9,381
270030507114,823,1155,257,1155,7,309
270030507115,1076,1170,351,1170,31,424
270030507121,922,1224,479,1224,90,370
270030507122,676,759,120,759,34,381
270030507123,672,907,126,907,37,437
270030507124,1120,1405,248,1405,18,527
270030508051,1995,2804,873,2804,49,907
270030508052,763,1114,299,1114,98,400
270030508053,1622,1979,490,1979,67,744
270030508054,713,1022,264,1022,0,346
270030508061,1729,2457,843,2457,283,770
270030508062,439,515,40,515,0,236
270030508063,1428,1515,385,1515,51,530
270030508064,1751,2176,590,2176,174,914
270030508071,482,582,139,582,0,243
270030508072,729,967,161,967,20,380
270030508073,637,869,223,869,0,358
270030508074,813,982,159,982,142,458
270030508081,531,581,78,581,0,253
270030508082,1321,1531,316,1531,5,634
270030508091,1620,2045,400,2045,342,827
270030508092,869,1559,425,1559,147,705
270030508093,1947,2688,886,2688,248,748
270030508101,747,1003,214,1003,17,309
270030508102,688,965,126,965,130,543
270030508103,1104,1413,207,1413,11,769
270030508104,613,857,256,857,7,291
270030508111,883,1176,223,1176,38,492
270030508112,795,859,113,859,30,453
270030508113,803,822,215,822,0,305
270030508131,942,1436,390,1436,143,502
270030508132,2466,2983,1022,2983,296,948
270030508133,435,448,69,448,41,214
270030508134,655,803,250,803,161,367
270030508135,1033,1100,87,1100,65,449
270030508161,1660,2009,685,2009,607,716
270030508162,665,868,183,868,13,351
270030508163,1078,1438,373,1438,0,471
270030508164,875,875,218,875,7,287
270030508181,1005,1182,299,1182,471,510
270030508182,1125,1349,265,1349,586,609
270030508183,2697,3233,1087,3233,799,1011
270030508191,1676,1892,638,1892,394,618
270030508192,2178,2537,664,2537,946,975
270030508201,2101,2324,532,2324,75,815
270030508202,620,796,275,796,243,278
270030508211,1031,1545,587,1545,435,510
270030508212,1256,1405,319,1405,378,663
270030508213,1245,1749,499,1749,732,785
270030509011,941,1240,293,1240,67,517
270030509012,621,698,160,698,13,260
270030509021,718,863,170,863,0,329
270030509022,625,833,207,833,24,422
270030509023,2015,2471,720,2471,214,892
270030509024,775,800,53,800,39,414
270030510011,1256,1743,426,1743,141,827
270030510012,821,932,109,932,22,377
270030510021,694,745,132,745,0,352
270030510022,1009,1275,340,1275,26,662
270030510023,1077,1598,359,1598,0,628
270030511011,763,1450,329,1450,71,663
270030511012,987,1156,188,1156,31,556
270030511013,689,717,136,717,18,307
270030511014,641,721,195,721,16,252
270030511015,459,710,204,710,0,296
270030511021,1756,3303,972,3303,64,1041
270030511022,486,639,155,639,0,223
270030511023,625,829,97,829,7,407
270030511031,820,972,127,972,0,465
270030511032,735,990,314,990,0,356
270030511033,438,1570,453,1570,71,416
270030512011,440,813,147,813,8,391
270030512012,549,1027,242,1027,24,410
270030512013,954,1640,220,1640,48,863
270030512021,704,863,153,863,9,359
270030512022,777,1237,367,1237,0,439
270030512023,720,1067,140,1067,35,538
270030512031,1966,2789,618,2789,33,1007
270030512032,779,1643,317,1643,0,658
270030512033,780,1062,114,1062,15,591
270030512061,1078,1421,131,1421,0,717
270030512062,582,954,280,954,21,328
270030513021,622,728,61,728,10,314
270030513022,1222,2094,444,2094,194,923
270030513023,828,1294,247,1294,0,418
270030513041,718,1022,215,1022,7,455
270030513042,806,1408,313,1408,19,547
270030513051,901,1273,266,1273,51,445
270030513052,483,1037,327,1037,0,461
270030513053,355,886,194,886,65,422
270030514001,855,984,266,984,0,386
270030514002,396,1334,195,1334,222,637
270030514003,425,481,38,481,5,290
270030514004,1117,2098,699,2098,15,757
270030515011,1017,2089,505,2089,42,1031
270030515012,509,928,262,928,68,349
270030515021,621,869,192,869,17,281
270030515022,990,1425,188,1425,75,776
270030515023,423,759,174,759,22,251
270190903011,1323,1386,443,1386,101,498
270190903012,1843,1886,355,1886,152,869
270190903013,3625,3782,1043,3782,558,1520
270190903021,4970,5325,1916,5325,1053,1804
270190904011,2701,2967,835,2967,454,804
270190904012,2832,3029,879,3029,569,1117
270190904021,1389,1443,404,1443,106,515
270190904022,4239,4390,1443,4390,792,1512
270190905011,2237,2441,756,2441,128,842
270190905021,2660,3141,1088,3141,672,1085
270190905031,914,986,205,986,30,385
270190905032,1493,1586,493,1586,135,542
270190906011,1240,1495,208,1495,0,688
270190906012,2667,2758,717,2758,10,1018
270190906021,1308,1463,311,1463,20,559
270190906022,1465,1484,456,1484,33,467
270190907011,2880,3615,911,3615,307,1299
270190907012,1649,1948,440,1948,319,850
270190907013,1231,1269,200,1269,88,449
270190907021,1740,2152,642,2152,587,786
270190907022,722,770,294,770,69,248
270190908001,2056,2216,802,2216,495,734
270190908002,1720,2122,270,2122,406,1313
270190908003,1848,2042,482,2042,47,628
270190908004,926,957,229,957,12,332
270190908005,1276,1476,387,1476,55,556
270190909001,1025,1056,282,1056,94,440
270190909002,891,1020,234,1020,65,495
270190909003,1232,1314,322,1314,31,407
270190909004,1742,1941,512,1941,345,675
270190910001,529,643,70,643,47,301
270190910002,1239,2034,312,2034,217,912
270190910003,1895,3029,938,3029,259,1044
270190910004,4358,5196,1803,5196,1272,1841
270190911001,4333,5025,1560,5025,810,1730
270190911002,1510,1525,337,1525,83,616
270370601011,495,750,146,750,16,265
270370601012,596,1161,303,1161,21,473
270370601013,608,905,340,905,15,312
270370601014,568,858,136,858,70,439
270370601021,606,860,67,860,0,452
270370601022,604,795,267,795,0,330
270370601023,778,918,197,918,12,396
270370601031,988,1125,344,1125,0,448
270370601032,1117,1381,222,1381,7,611
270370601041,916,1477,296,1477,0,553
270370601042,1159,1545,386,1545,30,704
270370601043,606,1671,407,1671,0,819
270370601044,950,1124,159,1124,10,552
270370601051,601,1372,392,1372,11,655
270370601052,1136,2006,428,2006,161,861
270370601053,918,1802,252,1802,76,783
270370602011,711,1025,266,1025,8,361
270370602012,513,785,228,785,41,284
270370602013,870,969,213,969,86,368
270370602021,419,643,159,643,14,255
270370602022,1504,1813,363,1813,86,799
270370602023,860,941,257,941,44,435
270370603011,642,1123,251,1123,50,677
270370603012,524,639,176,639,26,291
270370603013,591,837,243,837,0,354
270370603014,1253,1763,486,1763,26,661
270370603021,588,748,119,748,0,371
270370603022,1849,2306,607,2306,31,769
270370603023,589,662,84,662,19,278
270370604011,867,1111,298,1111,36,450
270370604012,1056,1331,331,1331,25,562
270370604021,526,840,191,840,25,407
270370604022,821,1170,309,1170,0,452
270370604023,562,740,202,740,6,286
270370604024,273,603,143,603,27,267
270370605021,735,854,153,854,41,373
270370605022,865,1638,491,1638,21,721
270370605023,693,1188,322,1188,28,431
270370605024,644,698,138,698,0,311
270370605031,572,881,259,881,69,277
270370605032,1274,1557,424,1557,18,592
270370605033,825,1043,155,1043,0,497
270370605034,1181,1440,294,1440,0,599
270370605051,604,870,100,870,12,535
270370605052,492,520,108,520,32,219
270370605053,850,1577,558,1577,14,622
270370605054,1413,1472,364,1472,302,644
270370605055,854,1647,290,1647,13,682
270370605061,1851,2741,421,2741,881,1393
270370605062,2415,2460,467,2460,218,1136
270370605071,1009,1207,226,1207,107,441
270370605072,2116,2412,471,2412,75,971
270370605081,1194,1280,269,1280,173,446
270370605082,1533,2356,685,2356,313,817
270370605083,1523,1633,654,1633,177,463
270370605084,688,718,162,718,73,265
270370605091,1057,1604,357,1604,175,587
270370605092,1580,1894,438,1894,329,958
270370605093,1525,2037,373,2037,150,862
270370606031,1030,1200,309,1200,9,466
270370606032,1114,1219,236,1219,130,486
270370606033,938,964,180,964,216,483
270370606034,1107,1244,284,1244,0,477
270370606041,1165,1298,161,1298,97,687
270370606042,1970,2088,291,2088,31,925
270370606051,1363,1615,352,1615,107,674
270370606061,1371,1568,310,1568,14,718
270370606062,1156,1191,232,1191,16,487
270370607091,560,1013,262,1013,0,367
270370607092,1926,2112,518,2112,0,807
270370607093,1416,2492,638,2492,0,892
270370607101,1350,1752,416,1752,126,709
270370607102,1372,2251,609,2251,117,980
270370607111,1992,2467,399,2467,80,1239
270370607112,1633,2426,556,2426,299,1065
270370607131,728,810,162,810,0,362
270370607132,1949,2194,489,2194,94,852
270370607141,2095,2540,692,2540,0,869
270370607142,1622,2159,431,2159,23,981
270370607161,979,1910,382,1910,124,763
270370607162,1701,1940,458,1940,52,660
270370607171,630,1114,262,1114,92,507
270370607172,967,1137,302,1137,104,406
270370607211,771,1248,233,1248,178,671
270370607212,1048,1464,259,1464,49,569
270370607251,836,957,166,957,95,458
270370607252,753,897,205,897,0,463
270370607253,1192,1957,423,1957,26,902
270370607261,487,609,117,609,20,229
270370607262,1249,2072,285,2072,203,1100
270370607271,1151,1712,325,1712,104,894
270370607272,1201,1330,307,1330,18,611
270370607281,2063,2478,589,2478,37,960
270370607282,1758,2406,606,2406,179,1116
270370607291,1419,1594,400,1594,18,586
270370607292,1852,2284,448,2284,322,947
270370607301,2170,2471,628,2471,56,945
270370607302,1528,1818,475,1818,23,577
270370607303,1388,1555,462,1555,28,508
270370607311,1704,1885,465,1885,104,716
270370607312,897,1075,248,1075,0,419
270370607313,1176,1313,300,1313,21,572
270370607321,1227,1433,450,1433,22,475
270370607322,2212,2749,803,2749,27,951
270370607323,1148,1234,342,1234,99,417
270370607331,1320,1565,402,1565,23,576
270370607332,1018,1404,335,1404,100,617
270370607333,1062,1205,293,1205,30,523
270370607341,1532,1725,271,1725,50,755
270370607342,2027,2835,726,2835,148,1016
270370607351,1117,1886,368,1886,124,744
270370607352,1009,1219,196,1219,92,623
270370607353,795,1148,307,1148,27,395
270370607354,440,988,324,988,36,394
270370607371,1783,2940,610,2940,335,1425
270370607372,1592,1911,233,1911,11,978
270370607381,1478,1926,514,1926,10,801
270370607382,844,1407,320,1407,9,608
270370607391,769,1530,178,1530,131,538
270370607392,1220,1537,322,1537,41,556
270370607393,1211,2488,1012,2488,122,801
270370607411,1426,2686,850,2686,29,1155
270370607412,646,958,163,958,0,470
270370607413,689,1591,539,1591,0,604
270370607414,1617,1920,260,1920,53,698
270370607421,1336,1521,220,1521,17,610
270370607422,913,941,194,941,19,354
270370607423,583,888,225,888,0,353
270370607431,789,1734,478,1734,14,612
270370607441,1133,1564,391,1564,24,568
270370607451,1168,1706,401,1706,0,614
270370607452,1495,2754,724,2754,362,1353
270370607461,869,1172,92,1172,49,659
270370607462,1950,2311,542,2311,275,926
270370607471,1388,1771,491,1771,18,750
270370607472,1203,1701,367,1701,61,886
270370607481,1882,2601,737,2601,173,941
270370607482,452,826,148,826,0,454
270370607491,1093,1572,160,1572,33,920
270370607501,1300,1765,334,1765,148,853
270370607502,708,1212,406,1212,0,359
270370607503,1050,1638,350,1638,42,838
270370608051,1026,1478,426,1478,86,577
270370608052,542,1733,538,1733,126,603
