id,totalppl
270030501091,1735
270030501092,1124
270030501093,1128
270030501094,1293
270030501101,1306
270030501102,1347
270030501111,1553
270030501112,1800
270030501113,447
270030502081,1621
270030502082,1730
270030502101,1122
270030502102,1150
270030502103,883
270030502104,854
270030502191,1292
270030502192,1661
270030502201,2238
270030502202,1645
270030502203,1260
270030502204,1926
270030502211,2055
270030502212,1279
270030502213,3941
270030502221,1328
270030502222,1052
270030502223,1330
270030502224,1733
270030502231,2874
270030502241,802
270030502242,2362
270030502251,3887
270030502252,3000
270030502261,3132
270030502271,1256
270030502272,3366
270030502281,2001
270030502282,3173
270030502291,3201
270030502292,2273
270030502301,2350
270030502321,1847
270030502322,2096
270030502331,1108
270030502332,2125
270030502361,2702
270030502362,1652
270030502371,3401
270030502372,2138
270030504011,1476
270030504012,1168
270030504021,945
270030504022,1574
270030504023,1029
270030505011,823
270030505012,1164
270030505013,831
270030505014,587
270030505041,1262
270030505042,1381
270030505051,1364
270030505052,668
270030505053,1392
270030505054,1710
270030506021,1171
270030506022,1403
270030506051,1334
270030506052,1546
270030506053,1398
270030506054,1943
270030506061,1074
270030506062,764
270030506071,946
270030506072,1827
270030506073,832
270030506074,1017
270030506081,1766
270030506082,1072
270030506083,1730
270030506091,966
270030506092,894
270030506093,1505
270030506101,1253
270030506102,1323
270030506103,1694
270030506104,2251
270030507021,2181
270030507022,1002
270030507041,1004
270030507042,1261
270030507043,865
270030507044,704
270030507045,902
270030507061,1082
270030507062,769
270030507063,1432
270030507071,2748
270030507072,1681
270030507073,1753
270030507091,1363
270030507092,1051
270030507101,896
270030507102,992
270030507103,714
270030507104,1017
270030507111,616
270030507112,892
270030507113,1088
270030507114,1155
270030507115,1170
270030507121,1224
270030507122,759
270030507123,907
270030507124,1405
270030508051,2804
270030508052,1114
270030508053,1979
270030508054,1022
270030508061,2457
270030508062,515
270030508063,1515
270030508064,2176
270030508071,582
270030508072,967
270030508073,869
270030508074,982
270030508081,581
270030508082,1531
270030508091,2045
270030508092,1559
270030508093,2688
270030508101,1003
270030508102,965
270030508103,1413
270030508104,857
270030508111,1176
270030508112,859
270030508113,822
270030508131,1436
270030508132,2983
270030508133,448
270030508134,803
270030508135,1100
270030508161,2009
270030508162,868
270030508163,1438
270030508164,875
270030508181,1182
270030508182,1349
270030508183,3233
270030508191,1892
270030508192,2537
270030508201,2324
270030508202,796
270030508211,1545
270030508212,1405
270030508213,1749
270030509011,1240
270030509012,698
270030509021,863
270030509022,833
270030509023,2471
270030509024,800
270030510011,1743
270030510012,932
270030510021,745
270030510022,1275
270030510023,1598
270030511011,1450
270030511012,1156
270030511013,717
270030511014,721
270030511015,710
270030511021,3303
270030511022,639
270030511023,829
270030511031,972
270030511032,990
270030511033,1570
270030512011,813
270030512012,1027
270030512013,1640
270030512021,863
270030512022,1237
270030512023,1067
270030512031,2789
270030512032,1643
270030512033,1062
270030512061,1421
270030512062,954
270030513021,728
270030513022,2094
270030513023,1294
270030513041,1022
270030513042,1408
270030513051,1273
270030513052,1037
270030513053,886
270030514001,984
270030514002,1334
270030514003,481
270030514004,2098
270030515011,2089
270030515012,928
270030515021,869
270030515022,1425
270030515023,759
270190903011,1386
270190903012,1886
270190903013,3782
270190903021,5325
270190904011,2967
270190904012,3029
270190904021,1443
270190904022,4390
270190905011,2441
270190905021,3141
270190905031,986
270190905032,1586
270190906011,1495
270190906012,2758
270190906021,1463
270190906022,1484
270190907011,3615
270190907012,1948
270190907013,1269
270190907021,2152
270190907022,770
270190908001,2216
270190908002,2122
270190908003,2042
270190908004,957
270190908005,1476
270190909001,1056
270190909002,1020
270190909003,1314
270190909004,1941
270190910001,643
270190910002,2034
270190910003,3029
270190910004,5196
270190911001,5025
270190911002,1525
270370601011,750
270370601012,1161
270370601013,905
270370601014,858
270370601021,860
270370601022,795
270370601023,918
270370601031,1125
270370601032,1381
270370601041,1477
270370601042,1545
270370601043,1671
270370601044,1124
270370601051,1372
270370601052,2006
270370601053,1802
270370602011,1025
270370602012,785
270370602013,969
270370602021,643
270370602022,1813
270370602023,941
270370603011,1123
270370603012,639
270370603013,837
270370603014,1763
270370603021,748
270370603022,2306
270370603023,662
270370604011,1111
270370604012,1331
270370604021,840
270370604022,1170
270370604023,740
270370604024,603
270370605021,854
270370605022,1638
270370605023,1188
270370605024,698
270370605031,881
270370605032,1557
270370605033,1043
270370605034,1440
270370605051,870
270370605052,520
270370605053,1577
270370605054,1472
270370605055,1647
270370605061,2741
270370605062,2460
270370605071,1207
270370605072,2412
270370605081,1280
270370605082,2356
270370605083,1633
270370605084,718
270370605091,1604
270370605092,1894
270370605093,2037
270370606031,1200
270370606032,1219
270370606033,964
270370606034,1244
270370606041,1298
270370606042,2088
270370606051,1615
270370606061,1568
270370606062,1191
270370607091,1013
270370607092,2112
270370607093,2492
270370607101,1752
270370607102,2251
270370607111,2467
270370607112,2426
270370607131,810
270370607132,2194
270370607141,2540
270370607142,2159
270370607161,1910
270370607162,1940
270370607171,1114
270370607172,1137
270370607211,1248
270370607212,1464
270370607251,957
270370607252,897
270370607253,1957
270370607261,609
270370607262,2072
270370607271,1712
270370607272,1330
270370607281,2478
270370607282,2406
270370607291,1594
270370607292,2284
270370607301,2471
270370607302,1818
270370607303,1555
270370607311,1885
270370607312,1075
270370607313,1313
270370607321,1433
270370607322,2749
270370607323,1234
270370607331,1565
270370607332,1404
270370607333,1205
270370607341,1725
270370607342,2835
270370607351,1886
270370607352,1219
270370607353,1148
270370607354,988
270370607371,2940
270370607372,1911
270370607381,1926
270370607382,1407
270370607391,1530
270370607392,1537
270370607393,2488
270370607411,2686
270370607412,958
270370607413,1591
270370607414,1920
270370607421,1521
270370607422,941
270370607423,888
270370607431,1734
270370607441,1564
270370607451,1706
270370607452,2754
270370607461,1172
270370607462,2311
270370607471,1771
270370607472,1701
270370607481,2601
270370607482,826
270370607491,1572
270370607501,1765
270370607502,1212
270370607503,1638
270370608051,1478
270370608052,1733
270370608061,1646
270370608062,2398
270370608063,1836
270370608111,1751
270370608112,1246
270370608113,2235
270370608121,1395
270370608122,2475
270370608123,2053
270370608131,1647
270370608132,2879
270370608141,2055
270370608142,2859
270370608143,1477
270370608151,2005
270370608152,3174
270370608161,2694
270370608162,2179
270370608163,1183
270370608171,1438
270370608172,1645
270370608173,2587
270370608174,3398
270370608181,2620
270370608182,4185
270370608183,837
270370608191,1692
270370608192,3092
270370608193,1949
270370608201,2603
270370608202,1878
270370608203,3570
270370608211,4291
