GEOID_BG,GEOID_TR,RID
270530224004,27053022400,477
270531008001,27053100800,295
270531008002,27053100800,295
270531108002,27053110800,595
270530239021,27053023902,160
270531062003,27053106200,533
270530248011,27053024801,571
270530216011,27053021601,432
270530216012,27053021601,439
270530216013,27053021601,439
270530216021,27053021602,109
270530215042,27053021504,596
270530215043,27053021504,670
270530215044,27053021504,596
270530215051,27053021505,5
270530215052,27053021505,670
270530215053,27053021505,5
270370609021,27037060902,366
270370609043,27037060904,366
270370608173,27037060817,335
270370607354,27037060735,27
270370608051,27037060805,418
270370604012,27037060401,531
270370607271,27037060727,358
270370611061,27037061106,232
270370603013,27037060301,147
270370607422,27037060742,570
270370607211,27037060721,398
270370604023,27037060402,88
270190906011,27019090601,561
270190906022,27019090602,458
270190906021,27019090602,458
270190906012,27019090601,561
270190907021,27019090702,542
270190907022,27019090702,542
270190909004,27019090900,21
270190908005,27019090800,21
270190908003,27019090800,21
270190907013,27019090701,449
270190903013,27019090301,530
270190909002,27019090900,21
271390804002,27139080400,163
271390805002,27139080500,280
271390807001,27139080700,280
271390809032,27139080903,23
271390809052,27139080905,92
271390811001,27139081100,645
271390811002,27139081100,645
271230307041,27123030704,86
271230419001,27123041900,395
271230407061,27123040706,156
271230418002,27123041800,607
271230318014,27123031801,179
271230303007,27123030300,58
271230324002,27123032400,197
271230407043,27123040704,0
271230345002,27123034500,427
271230430004,27123043000,187
271230352002,27123035200,236
271230375006,27123037500,572
271230407071,27123040707,156
271230424023,27123042402,212
271230403011,27123040301,74
271230371004,27123037100,620
271230306023,27123030602,278
271230350001,27123035000,478
271230411052,27123041105,476
271230334002,27123033400,413
271230317022,27123031702,86
271230310003,27123031000,612
271230414003,27123041400,549
271230308002,27123030800,30
271230333003,27123033300,586
271230375003,27123037500,572
271230353004,27123035300,266
271230365001,27123036500,565
271230423022,27123042302,325
271230406013,27123040601,156
271230322002,27123032200,465
270190911002,27019091100,544
270190904012,27019090401,487
271230372003,27123037200,464
271230305004,27123030500,30
271230410022,27123041002,315
271230315003,27123031500,128
271230352003,27123035200,236
271230317012,27123031701,97
271230347011,27123034701,375
271230325002,27123032500,68
271230326002,27123032600,68
271230364002,27123036400,565
271230321001,27123032100,413
271230411042,27123041104,476
271230303006,27123030300,58
271230340002,27123034000,175
271230423021,27123042302,325
271230310004,27123031000,140
271630709122,27163070912,62
271630710103,27163071010,247
271630710162,27163071016,317
271630714003,27163071400,500
271630702032,27163070203,215
271630707011,27163070701,247
270190911001,27019091100,544
270190908002,27019090800,113
270190903021,27019090302,447
270190903012,27019090301,447
271230353001,27123035300,373
271230338001,27123033800,175
271230339001,27123033900,175
271230307031,27123030703,86
270190904011,27019090401,487
270190904021,27019090402,314
270190904022,27019090402,544
270190905011,27019090501,314
270190905021,27019090502,608
270190905031,27019090503,608
270190905032,27019090503,647
270190908001,27019090800,83
270190908004,27019090800,113
270190909001,27019090900,113
270190910001,27019091000,280
270190910002,27019091000,280
270190910003,27019091000,83
270530249012,27053024901,159
270530118005,27053011800,606
270530276023,27053027602,543
270531067001,27053106700,180
270531101002,27053110100,615
270530209022,27053020902,397
270530229022,27053022902,411
270530120016,27053012001,643
270530240042,27053024004,15
270530258051,27053025805,553
270530268072,27053026807,196
270530265123,27053026512,639
270530267164,27053026716,121
270531040003,27053104000,198
270530221021,27053022102,217
270531108003,27053110800,595
270531012002,27053101200,269
270531091006,27053109100,504
270530238023,27053023802,527
270530106002,27053010600,13
270531067003,27053106700,496
270531039002,27053103900,640
270530258021,27053025802,352
270530252052,27053025205,710
270530267022,27053026702,463
270530209031,27053020903,39
270530216023,27053021602,109
270530223021,27053022302,577
270531013002,27053101300,409
270531108004,27053110800,444
270530269031,27053026903,174
270530229012,27053022901,244
270531087001,27053108700,78
270530085001,27053008500,161
270530081003,27053008100,279
270530068001,27053006800,496
270531069002,27053106900,301
270531226001,27053122600,477
270531057002,27053105700,299
270530110002,27053011000,182
270530120035,27053012003,550
270530006012,27053000601,7
270531060003,27053106000,506
270530083001,27053008300,630
270531093001,27053109300,633
270530245001,27053024500,510
270530205003,27053020500,374
270530268074,27053026807,196
270530232005,27053023200,4
270531102003,27053110200,562
270531225003,27053122500,189
270531004001,27053100400,173
270530096002,27053009600,359
270531028003,27053102800,71
270530223022,27053022302,577
270531069001,27053106900,161
270530120034,27053012003,14
270530256031,27053025603,17
270530264021,27053026402,293
270530274001,27053027400,462
270530209032,27053020903,559
270530215034,27053021503,224
270530249031,27053024903,159
270531089002,27053108900,673
270531258002,27053125800,363
270531258003,27053125800,161
270530229014,27053022901,244
270530254011,27053025401,435
270530268183,27053026818,181
270530208042,27053020804,224
270530260163,27053026016,59
270530260051,27053026005,393
270530121021,27053012102,509
